Question,Answer
absorption,a process in which one substance permeates another
accuracy,the quality of being near to the true value
acid,a sour water-soluble compound with a pH of less than 7
atom,the smallest component of an element
balance,bring into equilibrium
base,a compound reacting with an acid to form a salt and water
beaker,a flatbottomed jar made of glass or plastic
boil,bring to the temperature at which a liquid changes to vapor
boiling point,the temperature at which a liquid boils at sea level
brittle,having little elasticity
buoyancy,the tendency to float in water or other liquid
catalyst,substance that initiates or accelerates a chemical reaction
charge,the quantity of unbalanced electricity in a body
chemical bond,an electrical force linking atoms
chemical change,process determined by substances' composition and structure
chemical formula,a representation of a substance using symbols for its constituent elements
chemical property,a property used to characterize materials in reactions that change their identity
chemical reaction,a process in which substances are changed into others
chemistry,the science of matter
combustion,a reaction of a substance with oxygen to give heat and light
composition,the way in which someone or something is put together
compound,a substance formed by chemical union of two or more elements
concentration,the strength of a solution
condensation,process of changing from a gas to a liquid or solid state
conduct,transmit or serve as the medium for transmission
conductivity,the property of transmitting heat, electricity, or sound
conductor,a substance that readily serves as a medium for transmission
crystal,a solid having a highly regular atomic structure
density,the amount per unit size
dilution,a solution reduced in strength or concentration
dissolve,pass into a solution
ductile,capable of being shaped or bent or drawn out
electron,an elementary particle with negative charge
element,a substance that cannot be separated into simpler substances
energy,any source of usable power
equilibrium,a chemical reaction and its reverse proceed at equal rates
evaporation,the process of becoming a suspension of particles in the air
freezing,the withdrawal of heat to change something from a liquid to a solid
freezing point,the temperature below which a liquid turns into a solid
gas,state of matter distinguished from solid and liquid states
heat,a form of energy transferred by a difference in temperature
law of conservation of matter,a fundamental principle of classical physics that matter cannot be created or destroyed in an isolated system
liquid,fluid matter having no fixed shape but a fixed volume
litmus test,material that changes color in acidic or alkaline solutions
luster,the property of something that shines with reflected light
malleable,capable of being shaped or bent
mass,the property of a body that causes it to have weight
matter,that which has mass and occupies space
melting point,the temperature at which a solid turns into a liquid
metal,a chemical element or alloy that is usually a shiny solid
mixture,a substance consisting of substances blended together
molecule,the simplest structural unit of an element or compound
neutral,having only a limited ability to react chemically
neutron,a subatomic particle with zero charge
nucleus,the positively charged dense center of an atom
periodic table,arrangement of chemical elements according to atomic number
pH,a measure of the acidity or alkalinity of a solution
pH scale,a measure of the acidity or alkalinity of a solution
phase,a distinct state of matter in a system
phase change,a change from one state (solid or liquid or gas) to another without a change in chemical composition
physical change,a change from one state (solid or liquid or gas) to another without a change in chemical composition
physical property,any property used to characterize matter and energy and their interactions
precipitate,a substance separated from a solution or suspension
precision,the quality of being exact
product,a chemical substance formed as a result of a reaction
property,a basic or essential attribute shared by members of a class
proton,a stable particle with positive charge
reactant,a substance that is altered during a chemical process
reaction,a process in which a substance is changed into another
reagent,a substance for use in chemical reactions
salinity,the relative proportion of salt in a solution
solid,matter with definite shape at room temperature and pressure
solubility,the quality of being easily dissolved in liquid
solute,the dissolved matter in a homogenous liquid mixture
solution,a homogeneous mixture of two or more substances
solvent,a liquid substance capable of dissolving other substances
state of matter,(chemistry) the three traditional states of matter are solids (fixed shape and volume) and liquids (fixed volume and shaped by the container) and gases (filling the container)
substance,a particular kind of matter with uniform properties
surface tension,phenomenon at a liquid's surface from intermolecular forces
suspension,a mixture in which fine particles are supported by buoyancy
temperature,the degree of hotness or coldness of a body or environment
test tube,glass tube closed at one end
vaporization,the process of becoming a suspension of particles in the air
viscosity,resistance of a liquid to flowing
volume,the amount of 3-dimensional space occupied by an object
weight,the vertical force exerted by a mass as a result of gravity